State.Abbreviation,nursinghm.closed.days,nursinghm.flag,rest.closed.days.x1,rest.closed.days.x2,rest.closed.days.x3,rest.duration.days,rest.flag,daycare.closed.days,daycare.flag,movies.closed.days.x1,movies.closed.days.x2,movies.duration.days,movies.flag,gym.closed.days.x1,gym.closed.days.x2,gyms.duration.days,gyms.flag,emr.closed.days,emr.flag,facemsk.duration.days,facemsk.mandate.flag,facemsk.enforced.flag,stayhm.duration.days,stayhm.flag,relgn.gathering.banned.flag,state,state.fips.code,population.density.per.square.mile,population.2018,square.miles,number.homeless..2019.,percent.unemployed..2018.,percent.living.under.the.federal.poverty.line..2018.,percent.at.risk.for.serious.illness.due.to.covid,all.cause.deaths.2018,mental.health.professionals.per.100.000.population.in.2019,were.there.casino.s..in.state...land.and.non.land.based.,state.has.at.least.one.american.indian.alaskan.native.reservation,Legislature.Control,State.Control,most_recent_population,date,fips,cases,deaths,infections.per.capita
SC,201.5,1,46,0,0,46,1,0,0,124,0,124,1,47,0,47,1,369.5,1,0,0,1,27,1,0,South Carolina,45,158.78,5084127,32020,4172,5.3,15.3,41.4,50640,174.1,1,1,Rep,Rep,5277830,2021-04-05,45,556469,9203,0.10543518832550498
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369.5,1,0,0,1,0,0,1,South Dakota,46,11.44,882235,77116,995,3,13.1,35.3,7971,179,1,1,Rep,Rep,896581,2021-04-05,46,118517,1938,0.13218772202400006
TN,193.5,1,34,0,0,34,1,0,0,60,0,60,1,39,0,39,1,370.5,1,0,0,1,27,1,0,Tennessee,47,160.64,6770010,42144,7467,5.5,15.3,41.6,71078,153,0,0,Rep,Rep,6944260,2021-04-05,47,803028,11828,0.11563910337458563
TX,195.5,1,41,0,0,41,1,0,0,29,0,29,1,58,0,58,1,369.5,1,250,1,1,0,0,0,Texas,48,106.86,28701845,268596,25848,4.9,14.9,34.8,202211,111.8,1,1,Rep,Rep,29730300,2021-04-05,48,2807528,48881,0.09443322132639093
UT,0,0,42,0,0,42,1,0,0,35,0,35,1,35,0,35,1,376.5,1,21,1,0,0,0,1,Utah,49,37.23,3161105,84897,2798,3.2,9,30,18354,335.5,0,1,Rep,Rep,3310770,2021-04-05,49,387574,2133,0.11706461034744184
VT,203.5,1,65,0,0,65,1,75,1,68,0,68,1,70,0,70,1,369.5,1,227.5,1,0,52,1,1,Vermont,50,65.13,626299,9616,1089,3.8,11,39.1,6027,452.3,0,0,Dem,Divided,623251,2021-04-05,50,20267,229,0.03251819892787978
VA,0,0,64,0,0,64,1,0,0,98,0,98,1,79,0,79,1,370.5,1,291.5,1,1,60,1,1,Virginia,51,199.13,8517685,42775,5783,4.2,10.7,35.9,69359,171.9,0,1,Dem,Dem,8603980,2021-04-05,51,626171,10360,0.07277690092259628
WA,200.5,1,109,106.5,0,215.5,1,0,0,353.5,0,353.5,1,164,108.5,272.5,1,382.5,1,263.5,1,1,70,1,1,Washington,53,105.69,7535591,71298,21577,4.3,10.3,35.1,56877,373.3,1,1,Dem,Dem,7796940,2021-04-05,53,372631,5338,0.047791954279499393
WV,50.5,1,46,0,0,46,1,35,1,73,0,73,1,60,0,60,1,366.5,1,252.5,1,0,42,1,0,West Virginia,54,74.53,1805832,24230,1397,5.8,17.8,49.3,23478,127.8,1,0,Rep,Rep,1767860,2021-04-05,54,143733,2696,0.08130338375210706
WI,0,0,56,0,0,56,1,0,0,49,0,49,1,49,0,49,1,370.5,1,227.5,1,1,49,1,1,Wisconsin,55,88.76,5813568,65496,4538,3.2,11,36.5,53684,200.2,1,1,Rep,Divided,5852490,2021-04-05,55,639765,7342,0.1093150095087732
WY,0,0,57,0,0,57,1,43,1,57,0,57,1,43,0,43,1,369.5,1,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rep,Rep,581075,2021-04-05,56,56529,700,0.09728348319924278
